datetime,open,high,low,close,volume,ema20,atr,atr_upper_2,atr_upper_entry,atr_upper_3,atr_lower_2,atr_lower_entry,atr_lower_3,adx,plus_di,minus_di,rsi
2019-01-07 04:00:00,1.14207,1.14296,1.14158,1.14229,4858,1.1393255,0.003089187244559355,1.1455038744891186,1.1461217119380305,1.1485930617336781,1.1331471255108814,1.1325292880619695,1.1300579382663218,15.859103424642223,18.96746134562091,14.909280082196801,68.5656696859335
2019-01-07 08:00:00,1.14229,1.14474,1.14096,1.14408,13130,1.1397783095238094,0.003121837882331393,1.1460219852884723,1.1466463528649384,1.1491438231708035,1.1335346337591465,1.1329102661826804,1.1304127958768153,16.186167352711433,20.965571785192928,13.84997158260056,70.49819579820807
2019-01-07 12:00:00,1.14408,1.1458599999999999,1.14329,1.14573,12096,1.1403451371882085,0.0030929609882148212,1.146531059164638,1.1471496513622812,1.149624020152853,1.134159215211779,1.1335406230141358,1.131066254223564,16.83731236051962,22.083844843256283,13.16508979725391,72.19510282597312
2019-01-07 16:00:00,1.14572,1.14724,1.14533,1.14686,18037,1.140965600313141,0.003032857938804084,1.147031316190749,1.14763788777851,1.1500641741295532,1.134899884435533,1.134293312847772,1.1318670264967288,17.842311466814675,23.99377203674495,12.663881225503307,73.3266338885283
2019-01-07 20:00:00,1.14686,1.14821,1.14673,1.14739,8201,1.1415774479023655,0.002954475041863876,1.1474863979860932,1.148077292994466,1.1504408730279572,1.1356684978186378,1.135077602810265,1.1327140227767738,19.04078025722555,25.273042411773286,12.27394649247624,73.8638740986547
2019-01-08 00:00:00,1.14737,1.14841,1.14467,1.14478,6007,1.141882452864045,0.002991881289770675,1.1478662154435864,1.1484645917015406,1.150858096733357,1.1358986902845036,1.1353003140265494,1.132906808994733,19.101018860482984,23.319018268373657,15.583578892391529,66.73540448824853
2019-01-08 04:00:00,1.14478,1.14529,1.14318,1.14432,5764,1.1421146002103264,0.002946732225282133,1.1480080646608906,1.1485974111059472,1.1509547968861729,1.1362211357597622,1.1356317893147057,1.13327440353448,18.484149682448574,22.27275293603883,18.052749451081887,65.53496764191101
2019-01-08 08:00:00,1.14433,1.14608,1.14328,1.1451500000000001,12391,1.1424036859045812,0.002937995614018022,1.1482796771326171,1.1488672762554208,1.1512176727466352,1.1365276946765452,1.1359400955537415,1.1335896990625272,18.18593440651369,22.63076678365182,16.96496040199436,66.69894868831075
2019-01-08 12:00:00,1.1451500000000001,1.14688,1.14216,1.1427,16388,1.142431906294621,0.0030247358333171125,1.1484813779612553,1.1490863251279189,1.1515061137945724,1.136382434627987,1.1357774874613233,1.1333576987946699,17.406706300424577,20.399324006524346,17.63189101984577,60.232433483850684
2019-01-08 16:00:00,1.1427,1.14551,1.1424,1.1454,18221,1.1427145818856095,0.0030274440416512543,1.148769469968912,1.1493749587772422,1.1517969140105633,1.136659693802307,1.1360542049939768,1.1336322497606557,16.6831373447704,19.065387392840005,16.47892021589452,64.33601907712108
2019-01-08 20:00:00,1.1454,1.14587,1.14356,1.14406,6605,1.1428427169441229,0.0029904168395686933,1.1488235506232602,1.149421633991174,1.151813967462829,1.1368618832649855,1.1362637998970717,1.1338714664254168,16.15973917350599,18.892360366932305,15.659810291412295,60.97323167500302
2019-01-09 00:00:00,1.14409,1.1466,1.1437,1.14575,5539,1.1431196010446825,0.0029844459975902644,1.149088493039863,1.149685382239381,1.1520729390374533,1.1371507090495019,1.1365538198499838,1.1341662630519116,15.975922243025911,19.287818693313504,14.673703653612304,63.560181592026005
2019-01-09 04:00:00,1.14575,1.1464,1.14486,1.14607,5771,1.1434005914213792,0.0029114536977107564,1.1492234988168006,1.149805789556343,1.1521349525145115,1.1375776840259577,1.1369953932864154,1.1346662303282469,15.805235093294407,18.617373616139783,14.163645334685816,64.0461618715577
2019-01-09 08:00:00,1.14607,1.14785,1.14541,1.14605,12393,1.1436529160479145,0.002886661012825218,1.149426238073565,1.15000357027613,1.1523128990863902,1.1378795940222641,1.137302261819699,1.1349929330094388,16.245968505749527,20.902261494780262,13.370622819470265,63.988722380639395
2019-01-09 12:00:00,1.14603,1.14643,1.14387,1.14622,12493,1.1438974002338274,0.0028690479621839627,1.1496354961581954,1.1502093057506322,1.1525045441203792,1.1381593043094593,1.1375854947170225,1.1352902563472755,15.784476561322313,19.65861159526009,16.154290058375746,64.28195264457725
2019-01-09 16:00:00,1.1461999999999999,1.15406,1.14616,1.1532499999999999,30747,1.1447881240210818,0.003116645564074765,1.1510214151492313,1.1516447442620463,1.154138060713306,1.1385548328929322,1.1379315037801172,1.1354381873288575,17.597096957093996,32.357831537479704,13.487401040118074,73.78738213865115
2019-01-09 20:00:00,1.1532499999999999,1.15578,1.15286,1.15415,18173,1.1456797312571694,0.003105353285871028,1.1518904378289114,1.1525115084860857,1.1549957911147826,1.1394690246854273,1.138847954028253,1.1363636713995562,19.60746647716289,33.994725331627414,12.655742341340366,74.71510252648653
2019-01-10 00:00:00,1.15416,1.15609,1.15391,1.15539,8881,1.1466045187564866,0.0030579956215774804,1.1527205099996416,1.153332109123957,1.155778505621219,1.1404885275133316,1.1398769283890162,1.1374305318917541,21.53193394405882,33.060680863969466,12.057952202359699,75.9766514743772
2019-01-10 04:00:00,1.15538,1.15698,1.15487,1.15605,7083,1.147504088398726,0.0030095408404985985,1.1535231700797233,1.154125078247823,1.1565327109202217,1.1414850067177287,1.140883098549629,1.1384754658772303,23.486935705124136,33.48860425720379,11.492139545362573,76.64459126281989
2019-01-10 08:00:00,1.15605,1.15612,1.15195,1.15242,16397,1.1479722704559903,0.003065478798473668,1.1541032280529375,1.1547163238126323,1.1571687068514112,1.141841312859043,1.1412282170993482,1.1387758340605694,23.871195166381277,30.44776920845694,16.80695269894969,65.80720417462427
2019-01-10 12:00:00,1.15242,1.15451,1.15176,1.1520299999999999,13818,1.1483587208887531,0.003048329858549986,1.154455380605853,1.1550650465775631,1.157503710464403,1.1422620611716532,1.141652395199943,1.1392137313131032,24.142029114720312,28.60321274647039,16.207330283286673,64.74792221768604
2019-01-10 16:00:00,1.1520299999999999,1.15308,1.14971,1.15058,19355,1.1485702712803005,0.0030627283656224913,1.1546957280115455,1.15530827368467,1.157758456377168,1.1424448145490556,1.141832268875931,1.1393820861834332,23.500726313406087,26.485682901494048,19.51086327910385,60.82755648871868
2019-01-10 20:00:00,1.15058,1.15135,1.14844,1.14994,11735,1.1487007216345575,0.0030536369473413757,1.1548079955292403,1.1554187229187085,1.1578616324765816,1.1425934477398747,1.1419827203504065,1.1395398107925334,22.400853331221427,24.77975929617096,21.06517167260392,59.12588753352119
2019-01-11 00:00:00,1.14998,1.15225,1.14962,1.15179,5999,1.1489949386217426,0.003031140099974302,1.1550572188216912,1.155663446841686,1.1580883589216655,1.142932658421794,1.1423264304017993,1.1399015183218197,21.672973472295986,25.336684601820945,19.822505723165012,62.40031482521507
2019-01-11 04:00:00,1.15177,1.15309,1.15134,1.15253,5466,1.1493316111339575,0.002966208094975583,1.1552640273239088,1.1558572689429039,1.1582302354188843,1.1433991949440063,1.1428059533250112,1.1404329868490308,21.266721102606027,26.255860452379398,19.01854706847699,63.654557717612
